/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:16.920 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:18.136 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using log4j2 logging.
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:18.199 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:18.538 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.5.6.Final
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:19.085 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:19.369 [main] INFO  com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> z8kfltb21gr0xmvc47r8c|173c0722, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.cj.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> z8kfltb21gr0xmvc47r8c|173c0722, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/c2202l_spring_crm?useSSL=false, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:19.680 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:20.756 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:21.817 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4883 ms
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:28.036 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:34.606 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
